Time,DataCount (samples),Interval (s),ActivityCode (0=sedentary, 1= standing, 2=stepping),CumulativeStepCount
#2000-01-01 11:46:19#,24883,1.2,2,94,1.19E-03,137
#2000-01-01 11:46:20#,24895,1.3,2,95,1.23E-03,117
#2000-01-01 11:46:22#,24908,1.7,2,96,1.38E-03,101
#2000-01-01 11:46:23#,24925,1.5,2,97,1.31E-03,128
#2000-01-01 11:46:25#,24940,12.7,1,97,4.94E-03,0
#2000-01-01 11:46:38#,25067,1,2,98,1.11E-03,138
#2000-01-01 11:46:39#,25077,7.3,1,98,2.84E-03,0
#2000-01-01 11:46:46#,25150,1.3,2,99,1.23E-03,118
#2000-01-01 11:46:47#,25163,1.3,2,100,1.23E-03,156
#2000-01-01 11:46:49#,25176,1.2,2,101,1.19E-03,132
#2000-01-01 11:46:50#,25188,1.3,2,102,1.23E-03,130
#2000-01-01 11:46:51#,25201,1.1,2,103,0.00115,172
#2000-01-01 11:46:52#,25212,1.1,2,104,0.00115,168
#2000-01-01 11:46:53#,25223,1.2,2,105,1.19E-03,111
#2000-01-01 11:46:54#,25235,1.4,2,106,1.27E-03,120
#2000-01-01 11:46:56#,25249,3.6,2,107,2.12E-03,127
#2000-01-01 11:46:59#,25285,1.2,2,108,1.19E-03,43
#2000-01-01 11:47:01#,25297,1.1,2,109,0.00115,196
#2000-01-01 11:47:02#,25308,1.1,2,110,0.00115,176
#2000-01-01 11:47:01#,25319,1.1,2,111,0.00115,158
#2000-01-01 11:47:04#,25330,1.1,2,112,0.00115,154
#2000-01-01 11:47:05#,25341,1.1,2,113,0.00115,190
#2000-01-01 11:47:06#,25352,1.1,2,114,0.00115,162
#2000-01-01 11:47:07#,25363,1.2,2,115,1.19E-03,134
#2000-01-01 11:47:08#,25375,2.9,2,116,0.00185,103
#2000-01-01 11:47:11#,25404,3.6,2,117,2.12E-03,109
#2000-01-01 11:47:15#,25440,0.5,1,117,1.94E-04,287
#2000-01-01 11:47:15#,25445,3822.1,0,117,1.327118,0
